"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\StudentPresence.js", "JavaScript", 264, 0, 0, 0, 0, 36, 5, 305
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\StudentProfile.js", "JavaScript", 118, 0, 0, 0, 0, 0, 5, 123
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\AboutComponent.js", "JavaScript", 59, 0, 0, 0, 0, 2, 0, 61
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\AboutComponent.module.css", "CSS", 0, 0, 0, 58, 0, 0, 1, 59
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\AddCollege.js", "JavaScript", 171, 0, 0, 0, 0, 0, 9, 180
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\AddCollege.module.css", "CSS", 0, 0, 0, 150, 0, 0, 12, 162
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\CustomInput.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 58
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\CustomInput.module.css", "CSS", 0, 0, 0, 73, 0, 0, 2, 75
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\EditProfile.js", "JavaScript", 290, 0, 0, 0, 0, 1, 4, 295
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\EditProfile.module.css", "CSS", 0, 0, 0, 73, 0, 0, 3, 76
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\UniversityProfile.js", "JavaScript", 258, 0, 0, 0, 0, 2, 2, 262
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\UniversityProfile.module.css", "CSS", 0, 0, 0, 381, 0, 0, 9, 390
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\preview.js", "JavaScript", 102, 0, 0, 0, 0, 0, 6, 108
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\library\Library.js", "JavaScript", 145, 0, 0, 0, 0, 1, 2, 148
"c:\Users\Lenovo\Desktop\aps\src\components\Root.js", "JavaScript", 58, 0, 0, 0, 0, 0, 4, 62
"c:\Users\Lenovo\Desktop\aps\src\components\Root.module.css", "CSS", 0, 0, 0, 45, 0, 0, 0, 45
"c:\Users\Lenovo\Desktop\aps\src\components\UI\BaiscSwitch.js", "JavaScript", 45, 0, 0, 0, 0, 0, 2, 47
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Confirm\Confirm.js", "JavaScript", 46, 0, 0, 0, 0, 0, 2, 48
"c:\Users\Lenovo\Desktop\aps\src\components\UI\ErrorBox\ErrorBox.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 27
"c:\Users\Lenovo\Desktop\aps\src\components\UI\ErrorBox\ErrorBox.module.css", "CSS", 0, 0, 0, 43, 0, 0, 8, 51
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Form\ReactSelect.jsx", "JavaScript JSX", 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Loader\Button\Button.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Loader\Button\Button.module.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Loader\Loader.js", "JavaScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Loader\Loader.module.css", "CSS", 0, 0, 0, 40, 0, 0, 2, 42
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Loader\Myloader.js", "JavaScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Loader\PlaceHolderLoader.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Loader\PlaceHolderLoader.module.css", "CSS", 0, 0, 0, 60, 0, 0, 1, 61
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Loader\myLoader.module.css", "CSS", 0, 0, 0, 39, 0, 0, 3, 42
"c:\Users\Lenovo\Desktop\aps\src\components\UI\Menu.js", "JavaScript", 45, 0, 0, 0, 0, 0, 2, 47
"c:\Users\Lenovo\Desktop\aps\src\components\UI\progressBar\LinearProgressWithLabel.js", "JavaScript", 33, 0, 0, 0, 0, 4, 5, 42
